60Minutes,60 Minutes
LosAngelesTimesBoosterShotsblog,Los Angeles Times - Booster Shots blog
LosAngelesTimesSacramentoBee,"Los Angeles Times, Sacramento Bee"
LosAngelesTimesSanFranciscoChronicle,"Los Angeles Times, San Francisco Chronicle"
LosAngelesTimesWorldNowblog,Los Angeles Times - World Now blog
LouisvilleCourierJournal,Louisville Courier-Journal
MachinesLikeUsblog,Machines Like Us blog
MaCleans,MaClean's
MalaysianInsider,Malaysian Insider
MarinIndependentJourna,Marin Independent Journa
MarinIndependentJournalSanJoseMercuryNewsContraCostaTimes,"Marin Independent Journal, San Jose Mercury News, Contra Costa Times"
MarinIndependentJournalSanJoseMercuryNewsContraCostaTimesTheSanFranciscoAppeal,"Marin Independent Journal, San Jose Mercury News, Contra Costa Times, The San Francisco Appeal"
MarketWatch,MarketWatch
MarketWatchcom,MarketWatch.com
Mashable,Mashable
MedicalDaily,Medical Daily 
MedicalNewsToday,Medical News Today
MedicalPress,Medical Press
MedicalXpress,Medical Xpress
MedicineNetcom,MedicineNet.com
Mediumcom,Medium.com
Medscape,Medscape
MedscapeNews,Medscape News
MedscapeToday,Medscape Today
MensHealth,Men's Health
MercedSunStar,Merced Sun-Star
MercedSunStarFresnoBee,"Merced Sun-Star, Fresno Bee"
MercuryNews,Mercury News
Mic,Mic
MilkCookiesBlog,Milk & Cookies Blog
MillerMcCune,Miller-McCune
MillValleyPatch,Mill Valley Patch
MilwaukeeJournalSentinel,Milwaukee Journal Sentinel
MinneapolisStarTribune,Minneapolis Star-Tribune
MinnesotaPublicRadio,Minnesota Public Radio
MisisonLocal,Misison Local
MissionBlogSFGate,Mission Blog - SFGate
MITNews,MIT News
MITTechnologyReview,MIT Technology Review
MobileMagazine,Mobile Magazine
ModernHealthcare,Modern Healthcare
ModernHealthcarecom,Modern Healthcare.com
ModestoBee,Modesto Bee
MontereyCountyHerald,Monterey County Herald
MontereyHerald,Monterey Herald
MoreMagazine,More Magazine
MotherJones,Mother Jones
MsMagazine,Ms. Magazine
MSNBC,MSNBC
MSNBCcom,MSNBC.com
MSNBCMelissaHarrisPerry,MSNBC - Melissa Harris-Perry
MSNBCScience,MSNBC Science
MSNBCTheBodyOdd,MSNBC - The Body Odd
MSNcom,MSN.com
MSNHealth,MSN Health
MSNHealthyLiving,MSN Healthy Living
MSNMoney,MSN Money
MSNNews,MSN News
MultipleSclerosisNewsToday,Multiple Sclerosis News Today
MyrtleBeachSunNews,Myrtle Beach Sun News
NapaValleyRegister,Napa Valley Register
NaplesNews,Naples News
NationalGeographic,National Geographic
NationalInstitutesofHealth,National Institutes of Health
NationalJournal,National Journal
NationalMonitor,National Monitor
NationalPublicRadio,National Public Radio
Nature,Nature
Natureblog,Nature blog
NatureNews,Nature News
NatureWorldNews,Nature World News
Nautilus,Nautilus
NBC,NBC 
NBCBayArea,NBC Bay Area
NBCNewsNBCBayArea,"NBC News, NBC Bay Area"
NBCNewsVitals,NBC News - Vitals
NBCNightlyNews,NBC Nightly News
NevadaAppeal,Nevada Appeal
NewAmericaMedia,New America Media
NewEnglandJournalofMedicine,New England Journal of Medicine 
NewHampshirePublicRadio,New Hampshire Public Radio
NewKerala,New Kerala
NewRepublic,New Republic
News10Sacramento,News10 Sacramento
NewScientist,New Scientist
NewsmaxHealth,Newsmax Health
NewstrackIndiaANI,Newstrack India (ANI)
Newsweek,Newsweek
NewYorkDailyNews,New York Daily News
NewYorker,New Yorker
NewYorkMagazine,New York Magazine
NewYorkPost,New York Post 
NewYorkTImes,New York TImes
NewYorkTimesAtWar,New York Times - At War
NewYorkTimesBayAreaNewsGroupUSATodayviatheAssociatedPress,"New York Times, Bay Area News Group, USA Today via the Associated Press"
NewYorkTimesBayAreaNewsGroupviaAssociatedPress,"New York Times, Bay Area News Group via Associated Press"
NewYorkTimesBits,New York Times - Bits
NewYorkTimesBittmanblog,New York Times - Bittman blog
NewYorkTimesBostonGlobe,"New York Times, Boston Globe"
NewYorkTimesCNBC,"New York Times, CNBC "
NewYorkTimesCNBCviaReuters,"New York Times, CNBC via Reuters"
NewYorkTimesHuffingtonPostBayAreaNewsGroupviaAssociatedPress,"New York Times, Huffington Post, Bay Area News Group via Associated Press "
NewYorkTimesMagazine,New York Times Magazine
NewYorkTimesOpinionator,New York Times - Opinionator
NewYorkTimesReuters,"New York Times, Reuters"
NewYorkTimesSanFranciscoChronicleBayAreaNewsGroupviaAssociatedPress,"New York Times, San Francisco Chronicle, Bay Area News Group via Associated Press "
NewYorkTimesSanFranciscoChronicleContraCostaTimesSacramentoBeeSanJoseMercuryNewsviaAssociatedPress,"New York Times, San Francisco Chronicle, Contra Costa Times, Sacramento Bee, San Jose Mercury News via Associated Press"
